X,1712,09NOV06DEC/17,1711,12OCT08NOV/17
A,2TX0,BLUE SKY,35.064500,-101.849356,3615,18000,18000,3800,0
A,2VG2,UPPERVILLE,38.971636,-77.869906,558,18000,18000,5100,0
A,2XA0,FOARD CO,33.979250,-99.712872,1479,18000,18000,3200,0
A,2XS2,INDIO-FAITH,28.263386,-100.162772,758,18000,18000,5100,0
A,31CD,DIAMOND STAR RANCH,37.869750,-104.789806,6010,18000,18000,5000,0
A,31VA,ABERDEEN FIELD,37.020767,-76.588617,33,18000,18000,5900,0
A,36CA,STONE LAND,36.131897,-119.985692,265,18000,18000,3300,0
A,37XA,SKYDIVE HOUSTON,29.992833,-95.930483,235,18000,18000,4100,0
A,38AZ,BEDARD FIELD,36.471736,-110.417903,6581,18000,18000,7500,0
A,38WV,RIVERS EDGE FARM,39.325000,-78.425000,810,18000,18000,1500,0
A,38XS,SAN RAFAEL RANCH,26.815214,-98.479306,313,18000,18000,6000,0
A,3FL0,MOUNT ROYAL,29.436081,-81.656744,41,18000,18000,3000,0
A,3GA3,WARREN,34.871111,-85.437500,1866,18000,18000,1500,0
A,3LA4,LITTLE PECAN ISLAND,29.799681,-92.803536,7,18000,18000,4000,0
A,3MS9,UNION MUN,32.580694,-89.136169,512,18000,18000,2500,0
A,3NJ1,PEMBERTON,39.982178,-74.694972,65,18000,18000,2500,0
A,3NJ6,INDUCTOTHERM,40.015472,-74.841333,72,18000,18000,4000,0
A,3NR3,TRANSYLVANIA COUNTY,35.270278,-82.644167,2110,18000,18000,2900,0
A,3PN7,STAHLS MOUNTAIN,41.747861,-75.497406,1950,18000,18000,2200,0
A,40AR,LOST BRIDGE VILLAGE,36.396572,-93.909786,1440,18000,18000,3100,0
A,40XS,SASSER,30.517636,-97.780819,897,18000,18000,3000,0
A,42XS,TRIPLE B RANCH,27.958819,-98.403764,490,18000,18000,5000,0
A,44CL,BALSDON,39.047856,-121.950389,35,18000,18000,2300,0
A,46MI,CLOUD NINE WEST,42.546111,-84.127778,910,18000,18000,2400,0
A,4AK6,WOLF LAKE,61.640969,-149.288750,540,18000,18000,3800,0
A,4FL5,RIDGE LANDING,27.755278,-81.599722,140,18000,18000,3000,0
A,4GA5,PETERSON,32.088661,-84.372511,526,18000,18000,3200,0
A,4KS5,MAIZE,37.765567,-97.435878,1336,18000,18000,2100,0
A,4MO1,MONTGOMERY-WEHRMAN,39.012639,-91.419472,778,18000,18000,2300,0
A,4WI7,VINCENT,42.518353,-88.299258,880,18000,18000,1700,0
A,4WI9,CORNELL MUN,45.165522,-91.105697,1154,18000,18000,2400,0
A,51MO,PLATTSBURG,39.594583,-94.461417,1020,18000,18000,2100,0
A,54CL,LAKE RIVERSIDE ESTAT,33.520864,-116.796689,3410,18000,18000,3500,0
A,55CL,STRAIN RANCH,39.053056,-122.095556,123,18000,18000,3000,0
A,57AZ,LA CHOLLA,32.448061,-111.001769,2953,18000,18000,4600,0
A,58CL,BORREGO AIR RANCH,33.191928,-116.280103,576,18000,18000,2600,0
A,59FD,BIG CYPRESS AIRFIELD,26.326208,-80.987967,20,18000,18000,5500,0
A,5AZ3,PEGASUS,33.212500,-111.617222,1450,18000,18000,5000,0
A,5KY4,STANDARD,36.802133,-87.176722,665,18000,18000,2900,0
A,5MD1,BROOKLANDVILLE HELIP,39.417686,-76.678997,291,18000,18000,1200,0
A,5NC2,SUGAR VALLEY,35.984861,-80.511417,731,18000,18000,2400,0
A,5TE0,COMANCHE RANCH,28.627764,-100.161686,734,18000,18000,5500,0
A,5TX0,HIDDEN VALLEY,33.173453,-97.051397,611,18000,18000,2600,0
A,5TX1,BAR TRIANGLE,30.793128,-99.216586,1684,18000,18000,1300,0
A,62AL,SKYWEST AIRPARK,30.683525,-88.371956,150,18000,18000,2400,0
A,62GA,SEVEN LAKES,33.324564,-83.916297,630,18000,18000,2900,0
A,64OG,ANTONE RANCH,44.493436,-119.843686,3908,18000,18000,5100,0
A,65MO,MALONE,36.732825,-89.582128,300,18000,18000,2800,0
A,65NK,APEX,42.729519,-74.164017,1130,18000,18000,2700,0
A,66TE,THE LANDINGS,32.365522,-97.645011,708,18000,18000,3100,0
A,68IS,CASA DE AERO PARK,42.148600,-88.561947,860,18000,18000,2900,0
A,68MI,SALINE,42.146389,-83.791944,820,18000,18000,1800,0
A,6FL8,AMES,29.587556,-82.871250,64,18000,18000,2600,0
A,6MN7,SODBUSTER,44.401042,-92.687600,1200,18000,18000,1500,0
A,6NC1,LITTLE MOUNTAIN,35.591800,-81.079522,1030,18000,18000,3000,0
A,6TE6,6666 RANCH,33.641492,-100.347508,1777,18000,18000,5000,0
A,6TE9,MC KENZIE,32.816803,-94.616869,360,18000,18000,2800,0
A,6TS3,TXAEROSPORT,33.536289,-96.680417,855,18000,18000,3200,0
A,72IN,RIVER VIEW,41.178461,-87.318000,640,18000,18000,2500,0
A,72TE,CHAPARROSA RANCH,28.879064,-99.992481,682,18000,18000,5200,0
A,74TE,FLAT TOP RANCH,32.061389,-97.794833,960,18000,18000,4100,0
A,75OA,DARBY DAN,39.941958,-83.205278,928,18000,18000,5800,0
A,76LS,COOL CREEK,30.956208,-90.546725,251,18000,18000,2500,0
A,77NV,FLYING EAGLE,39.846667,-119.686667,4220,18000,18000,4500,0
A,77XS,GARRETT RANCH,29.291844,-95.359292,30,18000,18000,3000,0
A,79ID,CLEAR CREEK INT,46.048922,-115.869861,1800,18000,18000,1100,0
A,79KY,LUCAS FIELD,37.871278,-84.610528,906,18000,18000,5400,0
A,79VG,PERKEY,37.665278,-79.812417,1200,18000,18000,2200,0
A,7FL6,SPRUCE CREEK,29.080189,-81.046631,24,18000,18000,4000,0
A,7GA7,BERRY HILL,33.535667,-84.179086,770,18000,18000,3000,0
A,7KS9,EAGLE FIELD,37.848900,-97.510044,1379,18000,18000,3600,0
A,7LA4,KIBS,30.380622,-92.146064,51,18000,18000,2600,0
A,7MN4,MILLE LACS LAKE,46.319403,-93.830811,1261,18000,18000,2500,0
A,7MS4,CLOUD 9,32.606772,-90.192950,250,18000,18000,3000,0
A,7TX0,DANAHER,33.828603,-98.572753,986,18000,18000,3500,0
A,82IS,LANDINGS,42.143242,-88.403314,888,18000,18000,3100,0
A,82MI,RANDOLPHS LANDING AR,43.112531,-84.520822,700,18000,18000,2100,0
A,82TE,REMEMBERANCE,33.421253,-101.938542,3276,18000,18000,3400,0
A,82TS,ELMDALE,32.450125,-99.650364,1775,18000,18000,2900,0
A,84KS,ST MARYS,39.272500,-96.061389,1220,18000,18000,2500,0
A,85NK,CAMPBELL,42.154228,-79.016431,1666,18000,18000,2400,0
A,86IS,MICHAEL PFISTER,40.779389,-89.257833,805,18000,18000,2200,0
A,86KS,COBERLY,38.786889,-100.419844,2540,18000,18000,4400,0
A,88AZ,GRAPEVINE,33.640908,-111.056917,2329,18000,18000,3800,0
A,89NY,MAXSON AIRFIELD,44.316717,-75.899672,340,18000,18000,4200,0
A,89TE,LAJITAS INTL,29.277917,-103.687639,2638,18000,18000,7500,0
A,89TS,CARTER RANCH,31.566872,-95.766672,215,18000,18000,5100,0
A,8CL1,LAKE WOHLFORD RESORT,33.186150,-117.001975,1643,18000,18000,1300,0
A,8GA9,BROOKBRIDGE,33.273333,-84.411667,820,18000,18000,3000,0
A,8MN3,BREEZY POINT,46.595833,-94.220000,1255,18000,18000,2500,0
A,8NK4,BETHANY,42.943333,-78.138333,1000,18000,18000,2800,0
A,90NY,HOPEWELL,42.919508,-77.242778,730,18000,18000,1400,0
A,92CA,WESTLAKE FARMS,36.120786,-119.888467,192,18000,18000,3600,0
A,92NK,OWASCO,42.736611,-76.486447,1378,18000,18000,2300,0
A,94FL,PINE SHADOWS,26.732847,-81.897308,20,18000,18000,3200,0
A,94TS,HIDDEN SPRINGS RANCH,33.210075,-95.532725,485,18000,18000,2500,0
A,95NE,LIGHTNER RANCH,42.669769,-98.224111,1607,18000,18000,2500,0
A,95TA,THUNDER CREEK,29.634950,-99.482269,1500,18000,18000,2700,0
A,95WI,WISERSKY,42.936111,-89.129722,965,18000,18000,1200,0
A,9AK5,SKY HARBOR,61.116481,-149.818769,340,18000,18000,1800,0
A,9IS0,CEDAR RIDGE,40.543097,-91.330706,670,18000,18000,3400,0
A,9IS2,SCHERTZ,40.482167,-88.267556,758,18000,18000,3100,0
A,9KY9,PAINTSVILLE-PRESTONS,37.745931,-82.779050,624,18000,18000,3000,0
A,9NM9,SPACEPORT AMERICA,32.989547,-106.969469,4595,18000,18000,12000,0
A,9TE2,JL BAR RANCH,30.568367,-100.444192,2344,18000,18000,5300,0
A,AGAT,ATOIFI,-8.873333,161.011500,17,11000,12000,2700,0
A,AGGA,AUKI,-8.702686,160.681697,29,11000,12000,3100,0
A,AGGB,BELLONA,-11.295000,159.796667,40,11000,12000,2100,0
A,AGGC,CHOISEUL,-6.712033,156.396194,5,11000,12000,2100,0
A,AGGE,BALLALAE,-6.983333,155.885000,6,11000,12000,5400,0
A,AGGF,MARINGE,-8.107461,159.577114,9,11000,12000,1800,0
A,AGGH,HONIARA INTL /HENDER,-9.421667,160.051667,30,11000,12000,7200,0
A,AGGI,BABANAKIRA,-9.747761,159.839661,74,11000,12000,2200,0
A,AGGJ,AVU AVU,-9.868178,160.410392,27,11000,12000,2100,0
A,AGGK,KIRAKIRA,-10.441667,161.896667,8,11000,12000,3900,0
A,AGGL,SANTA CRUZ/GRACIOSA ,-10.713333,165.793333,11,11000,12000,2900,0
A,AGGM,MUNDA,-8.320000,157.261667,9,11000,12000,5900,0
A,AGGN,GIZO,-8.091667,156.863333,14,11000,12000,2900,0
A,AGGO,MONO/STIRLING ISLAND,-7.415000,155.566667,35,11000,12000,3200,0
A,AGGP,PARASI,-9.643611,161.428222,100,11000,12000,2600,0
A,AGGQ,ONTONG JAVA,-5.506667,159.526667,5,11000,12000,2600,0
A,AGGR,RENNELL/TINGOA,-11.560000,160.061667,82,11000,12000,2300,0
A,AGGS,SEGHE,-8.578475,157.875669,5,11000,12000,3000,0
A,AGGT,SANTA ANNA,-10.848347,162.454556,132,11000,12000,2600,0
A,AGGU,MARAU/PARURU,-9.864250,160.822567,3,11000,12000,2600,0
A,AGGV,SUAVANAO,-7.583333,158.733333,20,11000,12000,2700,0
